Neologism,Explanation(English),Category,Mood,Channel,Age Group,Example Sentence,Background(English),Year,Whom to Use,Type,Language
Quemon,Embarrassing moment,Negative Experiences,Negative,Messenger,10s-20s,"Qué quemon, me acabo de caer frente a todos.","Means ""burn"" or ""embarrassment."" Used in informal settings. From ""quemar"" + augmentative.",2006,Casual,Word,Spanish
Sacón,Scaredy-cat,Negative Experiences,Negative,Messenger,10s-20s,¡Eres un sacón!,"Refers to someone who backs out or is cowardly. Used in casual talk. From ""sacar"" + augmentative.",2007,Casual,Word,Spanish
Amix,"Bestie, friend",Relationships,Positive,Instagram,10s-20s,"Te quiero mucho, amix.","Variation of ""amigo"" (friend), popular in social media. Mix of ""amiga/o"" + cutesy spelling.",2016,Casual,Word,Spanish
Milando,"Looking, watching",Social,Neutral,TikTok,20s-30s,No dejes de milando a esa chica.,"Shortened from ""mirando,"" meaning ""watching."" Used in casual talk. From ""mirando"" pronounced lazily.",2023,Casual,Word,Spanish
Chido-one,Coolest one,Positive Experiences,Positive,TikTok,20s-30s,¡Eres el chido-one de este grupo!,"Playful variation of ""chido,"" emphasizing coolness. Used in youth slang. Hybrid playful formation.",2023,Casual,Word,Spanish
Bichota,"Powerful woman, boss",Social,Positive,TikTok,20s-30s,¡Esa mujer es una bichota!,"Popularized by reggaeton music, refers to a powerful or confident woman. Popularized by reggaetón.",2023,Casual,Word,Spanish
Jato,House (urban slang),Social,Neutral,Messenger,20s-30s,Vamos a mi jato después de la fiesta.,"Slang for ""house"" or ""home."" Common in urban areas. Urban youth term.",2005,Casual,Word,Spanish
Tirando flow,Showcasing style,Social,Positive,Instagram,10s-20s,Estás tirando flow con ese look.,Refers to showing off style or confidence. Popular in music culture. Popular in music/fashion circles.,2014,Casual,Phrase,Spanish
Vibras,"Vibes, mood",Positive Experiences,Positive,Instagram,10s-20s,¿Qué vibras traes hoy?,"Short for ""vibrations,"" used to describe atmosphere or feelings. Part of spiritual/wellness lingo.",2015,Casual,Word,Spanish
Tóxico,Toxic partner or behavior,Relationships,Negative,Twitter,20s-30s,Estaba en una relación tóxica.,"Used to describe a harmful or toxic person, especially in relationships. Social media slang.",2013,Casual,Word,Spanish
Andares,"Way of being, vibe",Social,Neutral,Messenger,20s-40s,Tienes unos andares muy tranquilos.,"Refers to lifestyle or the way one conducts themselves. From ""andar""; poetic feel.",2006,Casual,Word,Spanish
Chillón,Crybaby or whiner,Negative Experiences,Negative,Messenger,All,"No seas chillón, ya no llorés.","Means ""whiny"" or ""crybaby."" Used in informal conversations. From ""chillar"" + suffix.",2004,Casual,Word,Spanish
Pedote,Heavy drinker,Social,Negative,Messenger,20s-30s,¡Esa fiesta fue un pedote!,"Refers to a person who drinks a lot or is often drunk. From ""pedo"" + augmentative.",2006,Casual/Vulgar,Word,Spanish
Quemón,Sudden shame or exposure,Negative Experiences,Negative,Messenger,20s-30s,"¡Qué quemón, me acaban de exponer en las redes!","Embarrassment or being exposed. Common in youth slang. From ""quemar"" + noun suffix.",2006,Casual,Word,Spanish
Pasón,Overdose or too much,Negative Experiences,Negative,Messenger,20s-30s,¡Ayer me di un pasón!,"Refers to overindulgence, often with substances. From ""pasarse.""",2006,Casual/Vulgar,Word,Spanish
Salida,"Fix, escape, solution",Social,Neutral,Messenger,20s-30s,Encontré la salida de este problema.,"Means ""outing"" or ""going out."" Used in casual contexts. Used emotionally.",2006,Casual,Word,Spanish
Aperrado,"Obsessed, intense",Negative Experiences,Negative,Messenger,20s-30s,Está bien aperrado con ese proyecto.,"Refers to being stuck or in a difficult situation. From ""perro"" metaphor.",2007,Casual,Word,Spanish
Bien loco,Super crazy,Humor and Exaggerated,Neutral,Messenger,10s-20s,Estás bien loco si piensas hacer eso.,"Means ""really crazy."" Used to describe wild behavior or situations. Colloquial exaggeration.",2007,Casual,Word,Spanish
Andar bien high,Being very high,Hobbies,Negative/Positive,Messenger,20s-30s,¡Estoy bien high!,"Refers to being very intoxicated, often from drugs. Mixed with English.",2008,Casual/Vulgar,Phrase,Spanish
Panas,"Friends, close buddies",Relationships,Positive,Twitter,10s-20s,"Esos son mis panas, siempre me apoyan.","From Venezuelan slang, means ""friends."" Popularized through social media and Latin music. Common in Latin America, adopted in Mexico.",2016,Casual,Word,Spanish
Cursi,"Cheesy, overly romantic",Conversational,Positive/Negative,null,All,Esa película estuvo bien cursi,Refers to something overly sentimental or cheesy. Common in Spanish-speaking countries. Used mockingly or with affection.,1982,Casual,Word,Spanish
Papucho,"Hot guy, handsome",Beauty,Positive,Messenger,20s-30s,¡Ese tipo está bien papucho!,"Slang for a very attractive man. Often used in informal conversations. From ""papá"" + augmentative.",2007,Casual,Word,Spanish
Tirado,Exhausted or wasted,Negative Experiences,Negative,Messenger,20s-30s,"Después de la fiesta, todos se fueron tirados a dormir.","Means ""laid-back"" or ""lazy."" Used in various Spanish-speaking regions. From ""tirar,"" meaning ""thrown.""",2006,Casual,Word,Spanish
Cague de risa,"Hilarious, laughing hard",Humor and Exaggerated,Positive,Messenger,20s-30s,Esa broma me dio un cague de risa.,"Literally ""shit of laughter,"" means something extremely funny. Common in informal settings. Crude; common in informal groups.",2004,Casual/Vulgar,Phrase,Spanish
Ponchado,"Exhausted, worn out",Negative Experiences,Negative,Messenger,30s-50s,"El carro está ponchado, no podemos ir.","Refers to being deflated or discouraged. Common in Latin American slang. Baseball metaphor; ""ponche.""",2007,Casual,Word,Spanish
Ñoño,"Nerdy, studious",Negative Experiences,Negative,null,10s-20s,"No seas tan ñoño, ¡anímate a salir!",Refers to someone nerdy or overly studious. Common in Mexican Spanish. Used lovingly or critically.,1993,Casual,Word,Spanish
Achicopalado,"Feeling down, sad",Negative Experiences,Negative,null,30s-50s,"Después de la pelea, estaba todo achicopalado.",Means feeling down or discouraged. Common in Mexican slang. From Nahuatl roots.,1988,Casual,Word,Spanish
Pedorro,"Lame, weak, crappy",Humor and Exaggerated,Negative,Messenger,20s-30s,Esa película fue bien pedorra.,"Means ""gassy"" or refers to something of poor quality. Used humorously. From ""pedo,"" used insultingly.",2005,Casual/Vulgar,Word,Spanish
Jarcor,"Hardcore, extreme",Social,Neutral,Twitter,10s-20s,Este concierto va a ser todo jarcor.,"From ""hardcore,"" used to describe someone tough or intense. Popular in youth culture. Spanglish pronunciation of ""hardcore.""",2013,Casual,Word,Spanish
Swingueado,"Stylish, with flow",Hobbies,Positive,Instagram,20s-30s,Estaba bien swingueado con su música.,"Refers to someone who is swinging between moods or activities. From ""swing""; music slang.",2015,Casual,Word,Spanish
Huevón,"Lazy, unmotivated",Negative Experiences,Negative,null,10s-40s,"Ese tipo es bien huevón, no hace nada.","Slang for ""lazy person."" Widely used in Latin America. Also used affectionately among friends.",1983,Casual/Vulgar,Word,Spanish
Vato loco,Crazy dude,Social,Positive,null,20s-30s,Ese vato loco siempre tiene ideas raras.,"Combination of ""vato"" (guy) and ""loco"" (crazy), used in urban slang. Street culture term.",1995,Casual,Word,Spanish
Hiper buena onda,Very cool person,Positive Experiences,Positive,Messenger,20s-30s,¡Ese chico es hiper buena onda!,"Means ""super cool"" or ""very nice."" Used to describe positive people or situations. Exaggeration using ""onda.""",2008,Casual,Phrase,Spanish
Mamón,"Annoying, arrogant",Negative Experiences,Negative,null,20s-40s,"No seas mamón, no era para tanto.",Refers to someone annoying or pretentious. Common in Mexican Spanish. Can be playful or insulting.,1994,Casual/Vulgar,Word,Spanish
Presumido,"Show-off, bragger",Negative Experiences,Negative,Messenger,10s-40s,Es tan presumido que siempre está hablando de él mismo.,"Means ""conceited"" or ""show-off."" Used in informal conversations. Used in family and friend contexts.",2005,Casual,Word,Spanish
Ridículo,"Embarrassing, absurd",Negative Experiences,Negative,null,10s-20s,"¡Qué ridículo, nunca debí haber hecho eso!","Means ""ridiculous"" or ""absurd."" Used in everyday language. Common for joking.",1993,Casual,Word,Spanish
Enculado,Madly in love (too much),Relationships,Neutral,Messenger,20s-30s,"Está enculado con ella, no sabe qué hacer.","Refers to being deeply infatuated with someone. Used humorously or seriously. Crude, from ""culo,"" very informal.",2006,Casual/Vulgar,Word,Spanish
Loviu,“Love you” in Spanish spelling,Relationships,Positive,Instagram,10s-20s,¡Qué loviu se ve todo esto!,"Phonetic adaptation of ""love you,"" popular in text and social media among youth. Used in texting.",2014,Casual,Word,Spanish
Cuteado,Looking cute,Beauty,Positive,Instagram,20s-30s,Esos zapatos están bien cuteados.,"From ""cute,"" refers to someone deemed adorable. Used in informal settings. From English ""cute.""",2015,Casual,Word,Spanish
Rompe corazones,Heartbreaker,Relationships,Positive,Messenger,20s-30s,"Ese chico es un rompe corazones, todas las chicas lo aman.","Means ""heartbreaker."" Used to describe someone who attracts and hurts others romantically. Common in reggaetón.",2007,Casual,Phrase,Spanish
Flama,"Fire (cool, attractive)",Positive Experiences,Positive,TikTok,20s-30s,Esa fiesta estuvo en flama.,"Means ""awesome"" or ""cool."" Popular in youth slang and music. Adapted from English ""flame.""",2016,Casual,Word,Spanish
Perrísimo,Extremely cool or good,Positive Experiences,Positive,Messenger,20s-30s,¡Ese carro está bien perrísimo!,"Intensified form of ""perro"" (dog), means ""extremely cool"" or ""awesome."" From ""perro,"" exaggerated positive slang.",2006,Casual,Word,Spanish
Empalagado,Overwhelmed by sweetness,Negative Experiences,Negative,Messenger,All,Ya me siento empalagado de tanto dulce.,"Means ""overwhelmed"" or ""sick of something sweet."" Used metaphorically and literally. Literal and metaphorical use.",2005,Casual,Word,Spanish
Zape,Playful slap or scolding,Humor and Exaggerated,Negative,null,All,¡Te voy a dar un zape si no paras!,Slang for a light slap or playful hit on the head. Used humorously. Used among siblings or friends.,2005,Casual,Word,Spanish
Fulanito,Random guy,Conversational,Neutral,Messenger,All,Fulanito siempre llega tarde.,"Means ""so-and-so"" or ""someone,"" used to refer to an unspecified person. Generic placeholder name.",2004,Casual,Word,Spanish
Tirado al drama,Overly dramatic person,Negative Experiences,Negative,Messenger,20s-30s,"No seas tirado al drama, todo está bien.",Refers to someone who is overly dramatic. Used in casual conversations. Used in theater or emotional contexts.,2007,Casual,Phrase,Spanish
Quebrado,Emotionally broken,Economy,Negative,Messenger,30s-50s,Estoy quebrado después de comprar tantas cosas.,"Means ""broke"" or ""bankrupt."" Used in informal settings. Also used for financial problems.",2006,Casual,Word,Spanish
Brodercito,Little bro or dear friend,Relationships,Positive,Instagram,10s-20s,"¡Ay brodercito, qué onda!","Diminutive of ""broder,"" meaning ""little brother"" or close friend. Diminutive, affectionate form of ""broder.""",2016,Casual,Word,Spanish
Chapulinear,To steal someone’s crush or partner,Relationships,Negative,Twitter,20s-30s,"No me gusta chapulinear, pero ella lo hizo.","From ""chapulín"" (grasshopper), means to date a friend's ex. Popular in social media. From ""chapulín"" (grasshopper).",2015,Casual,Word,Spanish
Ojitos,Flirty eyes,Relationships,Positive,Messenger,10s-20s,¡Esos ojitos me derriten!,"Diminutive of ""eyes,"" used as a term of endearment. Used in compliments or teasing.",2006,Casual,Word,Spanish
Chamaca,Girl (informal),Relationships,Neutral,null,All,La chamaca tiene un carácter fuerte.,"Slang for ""girl"" or ""young woman."" Common in Mexican Spanish. Used in Central and Southern Mexico.",2006,Casual,Word,Spanish
Salado,Unlucky,Negative Experiences,Negative,Messenger,All,"Qué salado, me caí justo frente a todos.","Means ""unlucky"" or ""jinxed."" Common in various Spanish-speaking regions. Common in superstitions or jokes.",2005,Casual,Word,Spanish
Quemado,"Overexposed, known",Negative Experiences,Negative,Messenger,20s-30s,Estoy quemado por trabajar tantas horas.,"Refers to being ""burned out"" or ""exposed."" Used in informal settings. From ""quemar.""",2006,Casual,Word,Spanish
Chill,"Relaxed, low-key",Social,Positive,Instagram,20s-30s,¡Qué chill está este lugar!,"Means ""relaxed"" or ""easy-going."" Borrowed from English, popular in youth slang. From English, used as-is.",2014,Casual,Word,Spanish
Chocante,"Annoying, rude",Negative Experiences,Negative,null,20s-30s,¡Qué chocante fue esa pelea!,"Means ""annoying"" or ""irritating."" Common in everyday language. Common in polite complaints.",2005,Casual,Word,Spanish
Cancelar,Being canceled online,Social,Negative,Twitter,20s-30s,¡Me cancelarón ya me expusieron en redes!,"From English ""cancel,"" refers to rejecting or dismissing someone/something. Popular in media. Newer, social-media use.",2014,Casual,Word,Spanish
